id,msg
1,"Thanks for shopping! Order# ORD-2024-0012 placed on 12/06/24. Amount paid: Rs. 1,250.50 via UPI. Track at http://shop.in/t/ORD-2024-0012"
2,"Reminder: COD order Ord-2024-0013 (₹999) will be delivered tomorrow. To pay online visit https://pay.shop.in/p/0013"
3,"Alert: Payment of INR 2,345.00 received for order ID: ORD2024-0014 on 13-06-2024. Thank you!"
4,"We couldn't process your card for order: ord_2024_0015; due amount Rs 750. Retry payment at pay.shop.com before 15/06."
5,"Order ord-2024-16 has been cancelled. Refunded Re 50 to your wallet. Support: help@shop.in"
6,"Flash Sale! Your order ORD-2024-0017 confirmed. You paid Rs.1,299/- via netbanking on 14/06. Track: http://m.shop.in/o/0017"
7,"Order confirmation: ord2024-0018 placed successfully. Amount: INR2,000 (incl. taxes). Delivery ETA: 3–5 days."
8,"Payment pending for order Ord_2024_0019. Please pay Rs 499 using the link: https://pay.shop.in/pay?o=0019"
9,"Great choice! Order: ORD-2024-20 created. COD amount ₹1,899 to be collected on delivery."
10,"Order ord-2024-0021 dispatched. You have been charged Rs. 3,250.00 on your credit card ending 1234."
11,"Failed transaction for order ID ord_2024_0022. Attempted amount INR 850; no money debited. Try again later."
12,"Order ORD2024_0023 is on hold. Outstanding payment Rs 2,100/- . Resolve at http://shop.in/pay/0023"
13,"Refund processed: Re 1 credited for rounding adjustment on order ord-2024-0024."
14,"Delivered! Order: ord2024_0025 was delivered on 15-06-2024. Amount paid: ₹2,749 (UPI). Rate your experience."
15,"Offer: Pay remaining INR 5,000.00 for your order ORD-2024-0026 before 20/06 to avoid cancellation."
16,"Reminder: Your EMI order ord-2024-0027 has first installment of Rs 1,200 due today. Login to app to pay."
17,"Order ord_2024-0028 part-shipped. This invoice covers Rs. 350 for items already dispatched."
18,"Security alert: We blocked a suspicious payment of Rs 99 on non-existent order ORd-2024-9999. No action needed."
19,"Your pre-order ord2024-0029 is confirmed! Token amount received: INR 300. Balance payable on launch."
20,"Order ORD-2024-0030: Payment ₹4,500 received via card. GST invoice will be mailed to billing@example.com."
21,"We tried charging Rs. 875.00 for order ord_2024_0031 but the transaction failed. Use alternate payment method."
22,"Order ord-2024-0032 cancelled due to stock issues. Full refund Rs 2,349 will reflect in 5–7 working days."
23,"Promo applied! You saved Rs 150 on order ORD2024-0033. Final amount paid: Rs 649 only."
24,"Split payment: Order ord-2024_0034 – UPI Rs 500 + Wallet Re 10 used. Remaining INR 990 to be paid on delivery."
25,"Order ord2024-0035 confirmed. Amount to pay on delivery: ₹2,000/- . For support, call 1800-111-222."
